key,tw,en,jp,ko,notes
home.shopButton,線上購買,Shop Online,オンラインショップ,온라인 쇼핑,首頁-線上購買按鈕
home.artButton,線上探索,Explore,探索,탐색,首頁-探索按鈕
home.menuButton,豆間菜單,Bean Menu,豆の間メニュー,메뉴,首頁-菜單按鈕
home.mapButton,尋找豆間,Find Us,豆の間を探す,찾기,首頁-地圖按鈕
shop.categoryTitle,商品類別,Categories,カテゴリー,카테고리,商店-分類標題
cart.title,商品確認,Cart Confirmation,カート確認,장바구니 확인,購物車-標題
cart.headerProduct,商品/單價,Product / Price,商品/価格,상품/가격,購物車-表頭
cart.headerQuantity,數量,Qty,数量,수량,購物車-表頭
cart.headerTotal,總計,Total,合計,합계,購物車-表頭
cart.headerDelete,刪除,Delete,削除,삭제,購物車-表頭
cart.empty,購物車是空的,Your cart is empty,カートは空です,장바구니가 비어있습니다,購物車-空狀態
cart.goShopping,前往購物,Go Shopping,ショッピングへ,쇼핑하러 가기,購物車-按鈕
cart.domesticDelivery,本島宅配,Domestic Delivery,国内配送,국내 배송,購物車-配送方式
cart.shippingByTotal,依總金額而訂,Based on order total,注文金額による,주문 금액에 따라,購物車-運費說明
cart.remark1,2022 新年限定禮盒「虎虎生風」供貨日期：12/21-2022/2/28,2022 New Year Gift Box available: 12/21-2022/2/28,2022年新年限定ギフトボックス販売期間：12/21-2022/2/28,2022 신년 선물 세트 판매 기간: 12/21-2022/2/28,購物車-備註1
cart.remark2,如欲門市取貨，請來電門市預訂 089-862050,For store pickup please call 089-862050,店舗受取をご希望の場合は089-862050までお電話ください,매장 픽업을 원하시면 089-862050으로 전화주세요,購物車-備註2
cart.remark3,若有節慶送禮需求，建議提前1-2天收貨！,For holiday gifts we recommend receiving 1-2 days early!,贈り物の場合は1-2日前の受け取りをお勧めします！,선물용은 1-2일 전 수령을 권장합니다！,購物車-備註3
cart.remark4,官網訂購至門市取貨之訂單，因尚未付清款項，取貨時仍需依現場排隊結帳。,Online orders for store pickup require on-site payment upon collection.,オンライン注文で店舗受取の場合、現地でのお支払いが必要です。,온라인 주문 매장 픽업은 현장 결제가 필요합니다。,購物車-備註4
cart.subtotal,小計,Subtotal,小計,소계,購物車-小計
cart.discount,優惠折抵,Discount,割引,할인,購物車-折扣
cart.shipping,運費,Shipping,送料,배송비,購物車-運費
cart.total,總計,Total,合計,합계,購物車-總計
cart.continueShopping,繼續購買,Continue Shopping,買い物を続ける,쇼핑 계속하기,購物車-按鈕
cart.nextStep,下一步,Next Step,次へ,다음 단계,購物車-按鈕
checkout.title,填寫訂購資訊,Order Information,注文情報入力,주문 정보 입력,結帳-標題
checkout.subtitle,請填寫以下收件資訊，確認後送出訂單,Please fill in your delivery details and confirm your order,配送情報を入力して注文を確定してください,배송 정보를 입력하고 주문을 확정하세요,結帳-副標題
checkout.orderSummary,訂單摘要,Order Summary,注文概要,주문 요약,結帳-訂單摘要
checkout.recipientInfo,收件人資訊,Recipient Information,受取人情報,수령인 정보,結帳-收件人資訊
checkout.name,收件人姓名,Recipient Name,受取人氏名,수령인 이름,結帳-姓名
checkout.namePlaceholder,請輸入姓名,Enter your name,名前を入力してください,이름을 입력하세요,結帳-姓名提示
checkout.phone,連絡電話,Phone,電話番号,전화번호,結帳-電話
checkout.phonePlaceholder,例：0912345678,e.g. 0912345678,例：0912345678,예: 0912345678,結帳-電話提示
checkout.email,電子郵件,Email,メールアドレス,이메일,結帳-電子郵件
checkout.deliverySection,配送方式,Delivery,配送,배송,結帳-配送區塊
checkout.deliveryMethod,配送方式,Delivery Method,配送方法,배송 방법,結帳-配送方式
checkout.domesticDelivery,本島宅配,Home Delivery,宅配,택배,結帳-宅配
checkout.storePickup,門市取貨,Store Pickup,店舗受取,매장 픽업,結帳-門市取貨
checkout.address,收件地址,Delivery Address,配送先住所,배송 주소,結帳-地址
checkout.districtPlaceholder,區/鄉/鎮,District,区/郷/鎮,구/읍/면,結帳-區域提示
checkout.addressPlaceholder,請輸入詳細地址,Enter full address,詳細な住所を入力してください,상세 주소를 입력하세요,結帳-地址提示
checkout.paymentSection,付款方式,Payment,支払い,결제,結帳-付款區塊
checkout.paymentMethod,付款方式,Payment Method,支払い方法,결제 방법,結帳-付款方式
checkout.cod,貨到付款,Cash on Delivery,代金引換,착불,結帳-貨到付款
checkout.bankTransfer,轉帳匯款,Bank Transfer,銀行振込,계좌 이체,結帳-轉帳
checkout.notes,備註,Notes,備考,비고,結帳-備註
checkout.notesPlaceholder,如有特殊需求請填寫,Any special requests,特別な要望があれば入力してください,특별 요청 사항,結帳-備註提示
checkout.backToCart,返回購物車,Back to Cart,カートに戻る,장바구니로 돌아가기,結帳-返回按鈕
checkout.submit,確認送出,Place Order,注文確定,주문하기,結帳-送出按鈕
checkout.submitting,送出中...,Submitting...,送信中...,제출 중...,結帳-送出中
checkout.cityTaitung,台東縣,Taitung County,台東県,타이둥현,結帳-城市
checkout.cityTaipei,台北市,Taipei City,台北市,타이베이시,結帳-城市
checkout.cityNewTaipei,新北市,New Taipei City,新北市,신베이시,結帳-城市
checkout.cityTaoyuan,桃園市,Taoyuan City,桃園市,타오위안시,結帳-城市
checkout.cityTaichung,台中市,Taichung City,台中市,타이중시,結帳-城市
checkout.cityTainan,台南市,Tainan City,台南市,타이난시,結帳-城市
checkout.cityKaohsiung,高雄市,Kaohsiung City,高雄市,가오슝시,結帳-城市
checkout.cityOther,其他,Other,その他,기타,結帳-城市
auth.register,註冊帳號,Create Account,アカウント作成,계정 생성,認證-註冊
auth.login,會員登入,Member Login,会員ログイン,회원 로그인,認證-登入
auth.googleLogin,使用 Google 帳號登入,Sign in with Google,Googleでサインイン,Google로 로그인,認證-Google登入
auth.orEmail,或使用電子郵件,or use email,またはメールアドレスを使用,또는 이메일 사용,認證-或使用郵件
auth.name,姓名,Name,名前,이름,認證-姓名
auth.namePlaceholder,請輸入姓名,Enter your name,名前を入力してください,이름을 입력하세요,認證-姓名提示
auth.email,電子郵件,Email,メールアドレス,이메일,認證-郵件
auth.emailPlaceholder,請輸入電子郵件,Enter your email,メールアドレスを入力してください,이메일을 입력하세요,認證-郵件提示
auth.password,密碼,Password,パスワード,비밀번호,認證-密碼
auth.passwordPlaceholder,請輸入密碼（至少6個字元）,Enter password (min. 6 characters),パスワードを入力してください（6文字以上）,비밀번호를 입력하세요 (최소 6자),認證-密碼提示
auth.processing,處理中...,Processing...,処理中...,처리 중...,認證-處理中
auth.registerBtn,註冊,Register,登録,가입,認證-註冊按鈕
auth.loginBtn,登入,Login,ログイン,로그인,認證-登入按鈕
auth.hasAccount,已有帳號？,Already have an account?,すでにアカウントをお持ちですか？,이미 계정이 있으신가요?,認證-已有帳號
auth.noAccount,還沒有帳號？,Don't have an account?,まだアカウントをお持ちでないですか？,아직 계정이 없으신가요?,認證-無帳號
auth.loginLink,登入,Login,ログイン,로그인,認證-登入連結
auth.registerLink,免費註冊,Register for free,無料登録,무료 가입,認證-註冊連結
auth.logout,登出,Logout,ログアウト,로그아웃,認證-登出
auth.loginRegister,登入 / 註冊,Login / Register,ログイン / 登録,로그인 / 가입,認證-登入/註冊
inquiry.slogan,It is wiser to find out than to suppose.,It is wiser to find out than to suppose.,It is wiser to find out than to suppose.,It is wiser to find out than to suppose.,洽詢-標語
inquiry.title,企業大宗詢問,Corporate Inquiry,法人お問い合わせ,기업 문의,洽詢-標題
inquiry.desc1,你也對豆間產品充滿好奇，想知道還有哪些可能？,Curious about our products and what's possible?,当社の製品に興味がありますか？,저희 제품에 대해 궁금하신가요?,洽詢-描述1
inquiry.desc2,來吧！填妥這份豆豆VIP表格，我們一起發掘更多滋味驚喜,Fill out this VIP form and let's discover more flavors together!,このVIPフォームに記入して、一緒にもっと多くの味を発見しましょう！,이 VIP 양식을 작성하여 함께 더 많은 맛을 발견해봅시다！,洽詢-描述2
inquiry.desc3,豆間產品訂購滿NT.5000以上即享95折優惠,Orders over NT$5000 enjoy 5% off,NT$5000以上のご注文で5%割引,NT$5000 이상 주문시 5% 할인,洽詢-描述3
inquiry.desc4,更多合作詢問，歡迎於營業時間來電 089-862050,For more inquiries call us during business hours: 089-862050,営業時間内にお電話ください：089-862050,영업 시간 중 전화주세요: 089-862050,洽詢-描述4
inquiry.purpose,詢問項目,Inquiry Type,お問い合わせ種類,문의 유형,洽詢-項目
inquiry.purposeGift,公司贈禮,Corporate Gift,企業ギフト,기업 선물,洽詢-公司贈禮
inquiry.purposeCollab,品牌合作,Brand Collaboration,ブランドコラボレーション,브랜드 협업,洽詢-品牌合作
inquiry.purposeHoliday,節慶贈禮,Holiday Gift,ホリデーギフト,명절 선물,洽詢-節慶贈禮
inquiry.company,公司名稱,Company Name,会社名,회사명,洽詢-公司名稱
inquiry.contact,聯絡人,Contact Person,担当者,담당자,洽詢-聯絡人
inquiry.mobile,手機號碼,Mobile Phone,携帯電話,휴대폰,洽詢-手機
inquiry.companyTel,公司電話(分機),Company Phone (Ext.),会社電話（内線）,회사 전화 (내선),洽詢-公司電話
inquiry.email,電子郵件,Email,メールアドレス,이메일,洽詢-郵件
inquiry.contactTime,方便聯繫時間,Preferred Contact Time,連絡可能時間,연락 가능 시간,洽詢-聯繫時間
inquiry.time1,下午 13:00-15:00,PM 13:00-15:00,午後13:00-15:00,오후 13:00-15:00,洽詢-時間1
inquiry.time2,下午 15:00-17:00,PM 15:00-17:00,午後15:00-17:00,오후 15:00-17:00,洽詢-時間2
inquiry.time3,晚上 17:00-20:00,Evening 17:00-20:00,夕方17:00-20:00,저녁 17:00-20:00,洽詢-時間3
inquiry.product,需求產品,Product Needed,必要な製品,필요한 제품,洽詢-產品
inquiry.productSoyMilk,豆之間豆漿,Soy Milk,豆の間豆乳,콩사이 두유,洽詢-豆漿
inquiry.productTofuSkin,豆之間豆包,Tofu Skin,豆の間湯葉,콩사이 두부피,洽詢-豆包
inquiry.productDriedTofu,豆之間豆干,Dried Tofu,豆の間豆腐干,콩사이 두부간,洽詢-豆干
inquiry.quantity,需求個數,Quantity,数量,수량,洽詢-數量
inquiry.qty1,10-20(個),10-20 pcs,10-20個,10-20개,洽詢-數量1
inquiry.qty2,20-30(個),20-30 pcs,20-30個,20-30개,洽詢-數量2
inquiry.qty3,30-40(個),30-40 pcs,30-40個,30-40개,洽詢-數量3
inquiry.qty4,40個以上,40+ pcs,40個以上,40개 이상,洽詢-數量4
inquiry.date,需求日期,Required Date,必要日,필요 날짜,洽詢-日期
