key,tw,en,jp,ko,notes
art.intro,"豆之間，早期傳統製作豆製品的場所，也就是台語的豆仔間。","Soybean Space — traditionally a place for making soy products, known as 'Dou-Zi-Jian' in Taiwanese.",豆の間 — 伝統的に豆製品を作る場所。台湾語で「豆仔間」。,콩사이 — 전통적으로 두부 제품을 만드는 장소. 대만어로 '두자간'.,藝術-介紹
art.subtitle,"| 池上豆之間 | 土地和農民之間的距離 | 農民和農會之間的關係 |
| 農會與消費者之間的關係 | 都是緊密的合作夥伴及超美好關係 |","| Chishang Soybean Space | The distance between land and farmers | The relationship between farmers and the association |
| The relationship between the association and consumers | All are close partners in a wonderful relationship |","| 池上豆の間 | 土地と農民の距離 | 農民と農協の関係 |
| 農協と消費者の関係 | すべてが親密なパートナーシップ |","| 츠상 콩사이 | 땅과 농민의 거리 | 농민과 농협의 관계 |
| 농협과 소비자의 관계 | 모두가 긴밀한 파트너십 |",藝術-副標題
art.granary.title,池上農會穀倉的機遇,The Story of Chishang Granary,池上農協穀倉の物語,츠상 농협 곡창의 이야기,藝術-穀倉-標題
art.granary.subtitle,穀倉 X 視界,Granary X Vision,穀倉 X ビジョン,곡창 X 비전,藝術-穀倉-副標題
art.granary.poem,"駐存池上米的寶庫
即是穀倉
建築也許會被時間摧殘
但農夫的勤奮光景
可以在新視界被留下","The treasure trove of Chishang rice
is the granary
Buildings may deteriorate with time
but the diligent spirit of farmers
can be preserved in a new vision","池上米の宝庫
それが穀倉
建築は時間に朽ちるかもしれないが
農民の勤勉な光景は
新しいビジョンの中に残すことができる","츠상 쌀의 보고
그것이 곡창
건축은 시간에 허물어질 수 있지만
농민의 부지런한 모습은
새로운 비전 속에 남길 수 있다",藝術-穀倉-詩
art.granary.sceneTitle,場景介紹,About the Space,空間紹介,공간 소개,藝術-穀倉-場景標題
art.granary.scene,"豆之間是由池上農會將廢棄的穀倉改建而成，
這裏保留傳統木造穀倉意象，
注入大量採光，整個空間挑高而明亮，新穎中帶有一絲古早氣質。
屋頂留有從前巨大碾米機的部分構造，
建築、豆之間，融入了農舍老屋印記，
在時代快速演進下不忘過去的光陰，
是新的角度視界，亦是新的飲食穀倉。","Soybean Space was converted from an abandoned granary by Chishang Farmers' Association.
It preserves the traditional wooden granary imagery,
with abundant natural lighting, creating a tall and bright space with a touch of nostalgic charm.
The roof retains parts of the former large rice milling machine,
blending farmhouse heritage into the architecture.
Not forgetting the past while rapidly evolving,
it is a new perspective and a new culinary granary.","豆の間は池上農協が廃棄された穀倉を改装して作りました。
伝統的な木造穀倉のイメージを保ちつつ、
豊かな採光を取り入れ、開放的で明るい空間にノスタルジックな趣を加えました。
屋根にはかつての大型精米機の構造が残り、
農家の古い家の記憶が建築に溶け込んでいます。
時代の急速な変化の中でも過去の時間を忘れず、
新しい視点と新しい食の穀倉です。","콩사이는 츠상 농협이 폐기된 곡창을 개조하여 만들었습니다.
전통적인 목조 곡창의 이미지를 유지하면서
풍부한 채광을 더해 높고 밝은 공간에 향수 어린 분위기를 더했습니다.
지붕에는 과거의 거대한 정미기 구조가 남아 있으며,
농가의 오래된 집 기억이 건축에 녹아들어 있습니다.
시대의 빠른 변화 속에서도 과거를 잊지 않고,
새로운 시각과 새로운 식문화 곡창입니다.",藝術-穀倉-場景
art.granary.history,"池上的田，總是穩穩地舖滿在巍然屹立的中央山脈腳下，一年之間，順應時序更換裝扮，時而澄澈如鏡、時而搖曳生姿、時而青綠鮮嫩、又時而艷黃如陽，年復一年，在農民勤作耕耘下，餵養著池上人。

一方水土養一方人，自日治時期開始，池上以農為生，得天獨厚的自然環境，有著恰好日照、肥沃土壤，引來一群愛鄉愛土的樸實農人在此落地生根，池上之所以美，除了廣袤的視野，還有凝聚著共好的心意。","The rice paddies of Chishang spread steadily beneath the majestic Central Mountain Range, changing their appearance through the seasons — sometimes mirror-clear, sometimes swaying gracefully, sometimes fresh green, and sometimes golden as the sun. Year after year, nurtured by diligent farmers, they feed the people of Chishang.

One place nurtures its people. Since the Japanese colonial period, Chishang has thrived on agriculture. Blessed with ideal sunshine and fertile soil, a group of land-loving farmers settled here. The beauty of Chishang lies not only in its vast views but also in the shared goodwill of its community.","池上の田んぼは、壮大な中央山脈の麓にしっかりと広がり、四季を通じてその姿を変えます — 時に鏡のように澄み、時に優雅に揺れ、時に青々と新鮮に、そして時に太陽のように金色に輝きます。年々、勤勉な農民に育まれ、池上の人々を養っています。

一方の水土が一方の人を養う。日本統治時代から池上は農業で生計を立て、恵まれた自然環境、適度な日照と肥沃な土壌に惹かれた土地を愛する農民たちがここに根を下ろしました。池上の美しさは広大な景観だけでなく、共に良いことを願う心にあります。","츠상의 논은 장엄한 중앙산맥 아래에 넓게 펼쳐져 있으며, 사계절을 따라 모습을 바꿉니다 — 때로는 거울처럼 맑고, 때로는 우아하게 흔들리며, 때로는 푸르고 신선하게, 그리고 때로는 태양처럼 금빛으로 빛납니다. 해마다 부지런한 농민들의 손길 아래 츠상 사람들을 먹여 살립니다.

한 곳의 물과 흙이 한 곳의 사람을 기릅니다. 일본 통치 시대부터 츠상은 농업으로 생계를 이어왔고, 축복받은 자연환경과 비옥한 토양에 이끌려 땅을 사랑하는 농민들이 뿌리를 내렸습니다. 츠상의 아름다움은 광활한 풍경뿐만 아니라 함께 좋은 것을 바라는 마음에 있습니다.",藝術-穀倉-歷史
art.revert.title,《 溯土Revert to Earth 》,Revert to Earth,《 溯土 Revert to Earth 》,《 溯土 Revert to Earth 》,藝術-溯土-標題
art.revert.subtitle,藝術 X 重現,Art X Revival,芸術 X 再現,예술 X 재현,藝術-溯土-副標題
art.revert.poem,"因雨而濕潤的泥土香味緩緩升起，

如同一首來自無聲庶民的讚歌。","The scent of rain-moistened earth rises slowly,

like a silent hymn from the common people.","雨に濡れた土の香りがゆっくりと立ち上がる、

無声の庶民からの讃歌のように。","비에 젖은 흙의 향기가 천천히 피어오른다,

무언의 서민들의 찬가처럼.",藝術-溯土-詩
art.revert.poemSource,泰戈爾《漂鳥集》 第310首,"Tagore, Stray Birds #310",タゴール『迷い鳥たち』第310首,타고르 《방랑새》 제310수,藝術-溯土-詩來源
art.revert.conceptTitle,作品理念,Artist's Concept,作品理念,작품 이념,藝術-溯土-理念標題
